scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals,cluster_Rice_withdrawal_SugarCrop_withdrawal,cluster_Rice_withdrawal_Wheat_withdrawal,cluster_Rice_withdrawal_MiscAll_withdrawals
ssp_socio3_ag1_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.60321,21.98268,6.193849999999999,21.47383,17.661534,1.871475,9.79928,4.10002,1.2263110000000002,0.6644479999999999,3,2,1,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.52638,20.99409,5.4574,19.17643,16.605117,2.056449,9.16335,3.96716,0.88974,0.528418,3,2,2,1,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.68727,22.41189,8.335339999999999,22.34356,18.873872,1.930311,10.60015,4.3831,1.245465,0.714846,3,2,2,2,1,1,3,5,5,7,2,1,4,1
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.32444,20.20518,4.8798200000000005,18.60616,15.751900000000001,1.985222,8.593860000000001,3.8127,0.8564649999999999,0.5036529999999999,3,2,3,1,1,1,3,5,7,6,2,1,4,1
ssp_socio3_ag1_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.56924,22.0027,6.78482,21.78648,17.965911,1.897531,9.94661,4.20282,1.238985,0.6799649999999999,3,2,3,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.2513,19.28171,0.8856799999999999,16.60353,13.08979,1.829626,6.93702,3.08543,0.843772,0.393942,3,2,4,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5832300000000004,21.82191,4.6719100000000005,21.00041,16.950271,1.843244,9.34619,3.9022,1.2261879999999998,0.6324489999999999,3,2,4,2,1,1,3,5,5,2,2,1,4,1
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.29381,19.82224,5.1383600000000005,18.32194,15.683403,1.956486,8.57639,3.79265,0.8539840000000001,0.503893,3,2,5,1,1,1,3,5,7,6,2,1,4,1
ssp_socio3_ag1_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5587699999999995,21.83517,6.806369999999999,21.58829,17.953302,1.886554,9.96888,4.182180000000001,1.2349290000000002,0.680759,3,2,5,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.21942,19.29009,0.677502,16.3803,12.766803,1.815831,6.7487,3.00081,0.82396,0.377502,3,1,1,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwhi_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.50782,21.48793,2.19448,20.24987,15.322185,1.771319,8.2736,3.5069600000000003,1.206801,0.563505,3,1,1,2,1,1,3,5,5,5,2,1,1,1
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.5339,21.16236,5.45959,19.59525,16.715496,2.0391890000000004,9.28605,3.97865,0.8862559999999999,0.525351,3,1,2,1,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.68681,22.51911,8.12427,22.58756,18.953553999999997,1.916989,10.72611,4.367,1.235196,0.708259,3,1,2,2,1,1,3,5,5,7,2,1,4,1
ssp_socio3_ag1_gwhi_rs_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.22471,19.6773,1.222778,17.07217,13.528198999999999,1.868439,7.209049999999999,3.20384,0.840801,0.406069,3,1,3,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwhi_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.54496,21.93188,5.30347,21.61626,17.430748,1.856934,9.69231,4.00971,1.225716,0.6460779999999999,3,1,3,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5328800000000005,21.69911,5.495419999999998,21.36714,17.492084,1.851726,9.75675,4.010759999999999,1.222162,0.650686,3,1,5,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.62909,22.01042,6.18717,21.45349,17.696443000000002,1.871579,9.84357,4.0926,1.224331,0.664363,1,2,1,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwlo_exp_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.53526,21.0245,5.47502,19.41218,16.732729,2.047782,9.28785,3.97984,0.8883530000000001,0.528904,1,2,2,1,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.69943,22.43504,8.33145,22.32725,18.918647,1.928309,10.65211,4.3804,1.243312,0.7145159999999999,1,2,2,2,1,1,3,5,5,7,2,1,4,1
ssp_socio3_ag1_gwlo_exp_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.30248,20.01427,4.02348,18.12071,15.371488999999999,1.961374,8.41111,3.66701,0.8486899999999998,0.483305,1,2,3,1,1,1,3,5,7,2,2,1,4,1
ssp_socio3_ag1_gwlo_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.59449,22.02741,6.77485,21.76944,18.000622999999997,1.895266,9.9865,4.20159,1.237267,0.68,1,2,3,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwlo_exp_miroc_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.2714600000000003,19.3033,0.881916,16.517,13.138677999999999,1.827495,7.00148,3.0739,0.8422219999999999,0.393581,1,2,4,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwlo_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.61261,21.82456,4.34054,20.86355,16.807682,1.831576,9.27059,3.85681,1.223602,0.625104,1,2,4,2,1,1,3,5,5,2,2,1,4,1
ssp_socio3_ag1_gwlo_exp_noresm_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.3039300000000003,19.80689,5.0602,18.20256,15.814633,1.949984,8.7603,3.75369,0.849165,0.501494,1,2,5,1,1,1,3,1,7,6,2,1,4,1
ssp_socio3_ag1_gwlo_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5922,21.86246,6.787369999999999,21.54344,18.003791,1.885011,10.03207,4.17601,1.230762,0.6799379999999999,1,2,5,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwlo_rs_gfdl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.2638700000000003,19.39698,0.697254,16.12005,12.943273999999999,1.827545,6.91424,2.99327,0.827892,0.380327,1,1,1,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwlo_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5742700000000003,21.37431,2.168138,20.15077,15.426749000000003,1.785,8.391160000000001,3.48478,1.201444,0.564365,1,1,1,2,1,1,3,5,5,5,2,1,1,1
ssp_socio3_ag1_gwlo_rs_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.5781600000000005,21.20056,5.62735,19.592640000000006,17.005806,2.060239,9.54578,3.98208,0.886792,0.5309149999999999,1,1,2,1,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwlo_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.7539,22.35218,8.20524,22.5628,19.145144,1.935873,10.90929,4.35458,1.23288,0.712521,1,1,2,2,1,1,3,5,5,7,2,1,4,1
ssp_socio3_ag1_gwlo_rs_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.25105,19.6926,1.246957,17.032529999999998,13.658467,1.866531,7.35054,3.19543,0.8390709999999999,0.406895,1,1,3,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwlo_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.61269,21.98352,5.25799,21.57038,17.501106999999998,1.852265,9.78189,3.99765,1.223667,0.6456350000000001,1,1,3,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwlo_rs_noresm_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.2393,19.21445,1.417878,16.760469999999998,13.706381000000002,1.852149,7.44378,3.1657900000000003,0.8366720000000001,0.40799,1,1,5,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwlo_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.6362,21.57334,5.5483400000000005,21.331,17.698437000000002,1.866628,9.95246,4.00579,1.219076,0.6544829999999999,1,1,5,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwmed_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.60424,21.98709,6.19608,21.46527,17.66879,1.872629,9.8114,4.0948,1.225588,0.664373,2,2,1,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.53436,21.01868,5.47147,19.424,16.685783999999998,2.049576,9.22941,3.98726,0.890452,0.529086,2,2,2,1,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwmed_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.6881,22.42727,8.3393,22.33933,18.903725,1.928884,10.6335,4.3822100000000015,1.244367,0.7147640000000001,2,2,2,2,1,1,3,5,5,7,2,1,4,1
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.32528,20.2096,4.99311,18.60926,15.880515,1.984485,8.71521,3.81986,0.855086,0.5058739999999999,2,2,3,1,1,1,3,5,7,6,2,1,4,1
ssp_socio3_ag1_gwmed_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5727300000000004,22.00654,6.783930000000001,21.78068,17.975742,1.898102,9.95747,4.20184,1.238398,0.679932,2,2,3,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.24688,19.25356,0.892444,16.48762,13.100119999999999,1.826697,6.96435,3.07444,0.84125,0.393383,2,2,4,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwmed_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.58534,21.8271,4.58513,20.97707,16.910686000000002,1.837838,9.32103,3.89452,1.226587,0.630711,2,2,4,2,1,1,3,5,5,2,2,1,4,1
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.2877300000000003,19.77586,4.76742,18.24688,15.565008999999998,1.946103,8.530439999999999,3.73988,0.8525870000000001,0.495999,2,2,5,1,1,1,3,5,7,6,2,1,4,1
ssp_socio3_ag1_gwmed_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5592,21.8431,6.8033800000000015,21.56796,17.977712,1.887722,9.99879,4.17787,1.233054,0.680276,2,2,5,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwmed_rs_gfdl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.22412,19.30522,0.684708,16.28334,12.826008,1.817526,6.80898,2.99736,0.8239110000000001,0.378231,2,1,1,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwmed_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.50903,21.48784,2.152351,20.22312,15.312988,1.770613,8.27609,3.49751,1.206071,0.562704,2,1,1,2,1,1,3,5,5,5,2,1,1,1
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.52596,21.12349,5.50531,19.6653,16.801137999999998,2.0379560000000003,9.38015,3.97534,0.8817520000000001,0.52594,2,1,2,1,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwmed_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.70868,22.37381,8.194360000000001,22.59024,19.064556000000003,1.934416,10.81934,4.3639600000000005,1.235094,0.711746,2,1,2,2,1,1,3,5,5,7,2,1,4,1
ssp_socio3_ag1_gwmed_rs_ipsl_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.22486,19.66548,1.237362,17.0547,13.595649,1.868296,7.2826,3.19854,0.8395819999999999,0.406631,2,1,3,1,1,1,3,5,7,1,3,1,1,1
ssp_socio3_ag1_gwmed_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.55201,21.94903,5.29507,21.59939,17.456306,1.856171,9.72456,4.0047,1.224484,0.6463909999999999,2,1,3,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag1_gwmed_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.5349000000000004,21.69314,5.49831,21.35593,17.522085,1.852546,9.78699,4.0101,1.221224,0.6512249999999999,2,1,5,2,1,1,3,5,5,4,2,1,4,1
ssp_socio3_ag2_gwhi_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.676225,20.8423,5.54452,16.76931,15.383027,1.5980120000000002,8.555589999999999,3.44348,1.046797,0.7391479999999999,3,2,1,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwhi_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.730269,21.02035,6.298030000000002,17.040429999999997,15.799892000000003,1.62573,8.820260000000001,3.53629,1.055237,0.762375,3,2,2,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwhi_exp_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.655147,20.902420000000003,6.20383,16.97255,15.65923,1.6217629999999998,8.70701,3.5196300000000003,1.053548,0.757279,3,2,3,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwhi_exp_miroc_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.671594,20.80141,5.198729999999999,16.670859999999998,15.400597000000001,1.5896880000000002,8.64547,3.3907,1.043829,0.7309100000000001,3,2,4,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwhi_exp_noresm_NDC_Tax_ffict,2100,India,water_td_irr_KrishnaR_W,3.5834200000000003,19.07057,4.543839999999999,13.38521,13.732644999999998,1.713585,7.48591,3.18264,0.8108310000000001,0.539679,3,2,5,1,1,2,3,1,3,2,3,1,4,1
ssp_socio3_ag2_gwhi_exp_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.653977,20.72992,5.90729,16.75591,15.542473999999999,1.611066,8.65564,3.47793,1.047156,0.7506820000000001,3,2,5,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwhi_rs_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.655623,20.77028,4.79859,16.60051,15.233839,1.573375,8.57297,3.33592,1.034172,0.7174020000000001,3,1,1,2,1,2,3,5,7,2,2,1,4,1
ssp_socio3_ag2_gwhi_rs_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.72574,21.07288,6.215920000000001,17.066860000000002,15.993956,1.611681,9.07055,3.50941,1.044427,0.7578879999999999,3,1,2,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwhi_rs_ipsl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.645624,20.85029,5.3406,16.81739,15.508472999999999,1.593055,8.72355,3.41581,1.041687,0.7343710000000001,3,1,3,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwhi_rs_noresm_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.644882,20.66156,5.30351,16.642210000000002,15.382786,1.591846,8.60511,3.41049,1.040405,0.734935,3,1,5,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwlo_exp_gfdl_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.707168,20.83465,5.50623,16.66977,15.49264,1.594939,8.71594,3.40785,1.037659,0.736252,1,2,1,2,1,2,3,5,7,4,2,1,4,1
ssp_socio3_ag2_gwlo_exp_hadgem_NDC_Tax_uct,2100,India,water_td_irr_KrishnaR_W,3.749829,21.02444,6.27751,16.991229999999998,15.946204999999999,1.6183379999999998,8.99949,3.51915,1.049103,0.760124,1,2,2,2,1,2,3,5,7,4,2,1,4,1
