scenario,year,region,input,FiberCrop_withdrawal,Rice_withdrawal,Wheat_withdrawal,SugarCrop_withdrawal,MiscAll_withdrawals,Corn_withdrawal,MiscCrop_withdrawal,OilCrop_withdrawal,OtherGrain_withdrawal,Root_Tuber_withdrawal,gw,res,esm,tax,ssp,ag,soc,cluster_FiberCrop_withdrawal_Rice_withdrawal,cluster_FiberCrop_withdrawal_SugarCrop_withdrawal,cluster_FiberCrop_withdrawal_Wheat_withdrawal,cluster_FiberCrop_withdrawal_MiscAll_withdrawals
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02902918,28.5817,0.01427178,2.064732,6.12614077,0.02147273,6.06688,0.0342597,0.002194488,0.001333852,3,2,1,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_exp_gfdl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02568655,28.40241,0.01406355,2.0453490000000003,6.219942707999999,0.01713825,6.160419999999999,0.0379659,0.002429218,0.00198934,3,2,1,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02935492,28.8803,0.01428759,2.134823,6.205246584999999,0.02180217,6.14518,0.0347061,0.002208261,0.0013500539999999,3,2,2,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_exp_hadgem_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02591856,28.391340000000003,0.0141611999999999,2.066937,6.177251987000001,0.01695936,6.11822,0.0377782,0.002452304,0.001842123,3,2,2,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02781069,27.725900000000006,0.0136303,2.041305,5.924531439000001,0.02088348,5.867030000000001,0.0332273,0.002105352,0.001285307,3,2,3,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_exp_ipsl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02562279,28.06242,0.01391985,2.035305,6.095757085,0.0167341599999999,6.03749,0.0373039,0.002419929,0.001809096,3,2,3,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02991945,29.304900000000004,0.01470597,2.16055,6.328329275000001,0.02211169,6.26726,0.0353125,0.002269902,0.001375183,3,2,4,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_exp_miroc_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02606696,28.537940000000003,0.01428846,2.069416,6.228963734000001,0.01699285,6.16975,0.0379088,0.002465527,0.001846557,3,2,4,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_exp_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02956748,29.2356,0.01447367,2.151554,6.3371386979999995,0.02217317,6.276,0.0353278,0.002260106,0.001377622,3,2,5,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_exp_noresm_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02599621,28.4538,0.01411586,2.101252,6.236719173,0.01705392,6.17739,0.0379536,0.00246685,0.001854803,3,2,5,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_rs_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02893503,28.669,0.01425825,2.075209,6.171341574000001,0.02137895,6.1123400000000006,0.034105,0.00218172,0.001335904,3,1,1,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_rs_gfdl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02583358,28.3901,0.01416788,2.062177,6.201801068000001,0.01682289,6.14322,0.0374945,0.002434932,0.001828746,3,1,1,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_rs_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.0292595,28.9801,0.01425479,2.143719,6.222023575999998,0.02168762,6.162229999999999,0.0345626999999999,0.002197225,0.001346031,3,1,2,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_rs_hadgem_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02586572,28.453740000000003,0.01413782,2.0815330000000003,6.214216809000001,0.01689803,6.15536,0.037675,0.00244184,0.001841939,3,1,2,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_rs_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.0277424,27.8389,0.01359898,2.047364,5.967767951,0.02076633,5.91052,0.0330993,0.002094254,0.001288067,3,1,3,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_rs_ipsl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02559527,28.13088,0.01390145,2.05344,6.147088665000001,0.0166818899999999,6.0889700000000015,0.0372134,0.002410058,0.001813317,3,1,3,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_rs_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02978998,29.371,0.0146692999999999,2.173854,6.406653899999999,0.02196298,6.34593,0.0351222,0.002261066,0.001377654,3,1,4,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_rs_miroc_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02605008,28.58609,0.01427815,2.0840560000000004,6.2899302850000005,0.01694789,6.23084,0.0378368,0.002454293,0.001851302,3,1,4,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_rs_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02944318,29.2445,0.01444426,2.163381,6.38207262,0.02208281,6.32118,0.0351748999999999,0.00226113,0.00137378,3,1,5,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwhi_rs_noresm_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02594722,28.47448,0.01413751,2.046913,6.284976372,0.0169979,6.22583,0.0378694,0.002466811,0.001812261,3,1,5,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_exp_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02938109,28.599,0.01420434,2.052175,6.181495384000001,0.02145249,6.122330000000001,0.0341755,0.002189427,0.001347967,1,2,1,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_exp_gfdl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02640134,28.222140000000003,0.01411699,2.05946,6.080971559000001,0.01656657,6.02303,0.0371695,0.002447591,0.001757898,1,2,1,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_exp_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02954626,28.8751,0.01424795,2.130504,6.251986210999999,0.02174362,6.19209,0.0346014,0.002201607,0.001349584,1,2,2,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_exp_hadgem_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02566551,29.793840000000003,0.01375179,1.927705,6.236892169000001,0.01681565,6.17837,0.0375864,0.002341189,0.00177893,1,2,2,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_exp_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02822227,27.7387,0.01360777,2.034069,5.954256407000003,0.02086067,5.896800000000002,0.0332058,0.002102565,0.001287372,1,2,3,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_exp_ipsl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02571421,28.07791,0.01394104,2.037366,6.125761423,0.01675017,6.0673900000000005,0.037382,0.00241725,0.001822003,1,2,3,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_exp_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.03036383,29.315200000000004,0.01465843,2.155768,6.3925873840000005,0.02202566,6.33171,0.0352141,0.002259845,0.001377779,1,2,4,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_exp_miroc_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.0263733,28.5433,0.01424428,2.072934,6.294309704,0.01693994,6.23532,0.0377445,0.002456586,0.0018486779999999,1,2,4,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_exp_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.03004102,29.243,0.0144028499999999,2.148943,6.377350143,0.02211148,6.31639,0.0352199,0.002249575,0.001379188,1,2,5,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_exp_noresm_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02622506,28.472340000000003,0.01408754,2.080861,6.261099246000001,0.01700607,6.20187,0.0379101,0.002460608,0.001852468,1,2,5,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_rs_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02971878,28.7004,0.01417624,2.064496,6.313274996,0.02123342,6.254619999999999,0.0339016,0.002170642,0.001349334,1,1,1,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_rs_gfdl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02635047,28.47991,0.01407421,2.067023,6.342892992999999,0.0167341599999999,6.28466,0.0372398,0.002414781,0.001844252,1,1,1,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_rs_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.0298793,29.0144,0.01420557,2.132275,6.381268168,0.0215653,6.32179,0.0343647,0.002185422,0.001362746,1,1,2,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_rs_hadgem_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02632434,28.66451,0.0140315,2.155717,6.381750743,0.01680857,6.32302,0.0376334,0.002408271,0.001880502,1,1,2,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_rs_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02853061,27.9883,0.01348641,2.132066,6.145842785999999,0.02066898,6.08868,0.0330327,0.002077578,0.001383528,1,1,3,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_rs_ipsl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02595158,28.45161,0.01380497,2.0135620000000003,6.34129089,0.01664207,6.28317,0.0371003,0.00238194,0.00199658,1,1,3,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_rs_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.03084693,29.4165,0.0146309,2.155653,6.565845666,0.0218511,6.50541,0.0349465,0.002243084,0.001394982,1,1,4,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_rs_miroc_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02679865,28.66657,0.01419856,2.115532,6.464227461000001,0.01684059,6.405530000000001,0.0375412,0.002435829,0.001879842,1,1,4,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_rs_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.03051162,29.3043,0.01438661,2.148938,6.505640814,0.02197363,6.44503,0.0350009,0.002243583,0.001392701,1,1,5,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwlo_rs_noresm_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02655883,28.53283,0.01404653,2.09083,6.394628547999999,0.0169252199999999,6.335719999999999,0.0376699,0.002448509,0.001864919,1,1,5,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_exp_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.029048,28.583,0.01426638,2.064461,6.144040144,0.02145869,6.08481,0.0342441999999999,0.002191422,0.001335832,2,2,1,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_exp_gfdl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02609881,28.35657,0.01414646,2.046875,6.178668972000001,0.01686965,6.11998,0.0375503,0.002438856,0.001830166,2,2,1,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_exp_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02935193,28.8787,0.0142918,2.1369160000000003,6.214739886000001,0.0217951,6.15469,0.0346976,0.002206946,0.00135024,2,2,2,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_exp_hadgem_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02592983,28.39176,0.0141631,2.0669720000000003,6.1888177209999995,0.01693314,6.1298,0.0377911,0.002450957,0.001842524,2,2,2,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_exp_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02813486,27.7275,0.01360217,2.040121,5.942391259000001,0.02086813,5.884930000000001,0.0332036999999999,0.00210223,0.001287199,2,2,3,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_exp_ipsl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02571299,27.91775,0.0139877,1.881514,6.099535363000001,0.01673592,6.041270000000001,0.0372995999999999,0.002435956,0.001793887,2,2,3,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_exp_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.030106,29.3054,0.01469948,2.160892,6.353504520000001,0.022093,6.292490000000001,0.0352776999999999,0.002266159,0.001377661,2,2,4,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_exp_miroc_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02635429,28.540550000000003,0.01426409,2.069058,6.259674315999999,0.01697712,6.200519999999999,0.0378676,0.002461147,0.001848449,2,2,4,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_exp_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02998913,29.2332,0.0144264799999999,2.1510860000000003,6.355724528000001,0.02215485,6.294650000000002,0.0352841,0.002255976,0.001379602,2,2,5,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_exp_noresm_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02618946,28.45828,0.01410448,2.080706,6.2464080509999995,0.0170398,6.1871,0.0379504,0.0024651779999999,0.0018526729999999,2,2,5,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_rs_gfdl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02894447,28.6714,0.01425408,2.075698,6.195135672000001,0.02133578,6.1362000000000005,0.0340839999999999,0.002178089,0.0013378029999999,2,1,1,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_rs_gfdl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02599183,28.87956,0.01390113,2.022424,6.327202514,0.01684957,6.26839,0.0374478,0.002378368,0.002136776,2,1,1,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_rs_hadgem_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02924185,28.9793,0.0142567999999999,2.1427620000000003,6.257916057000002,0.021668,6.198180000000002,0.0345245999999999,0.002192892,0.001350565,2,1,2,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_rs_hadgem_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02587134,28.4549,0.01413806,2.081554,6.239382963,0.01688666,6.18056,0.0376534,0.002439525,0.001843378,2,1,2,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_rs_ipsl_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.0278134,27.7287,0.01358552,2.1805060000000003,6.130603947000001,0.02071737,6.073320000000002,0.0330161,0.002103328,0.001447149,2,1,3,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_rs_ipsl_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.0257126,28.1456,0.01388392,2.05467,6.181823207999999,0.0166534,6.123799999999999,0.0371461,0.002404411,0.001819297,2,1,3,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.03000706,29.3868,0.01468445,2.168253,6.4370949369999995,0.02195544,6.37639,0.0351171,0.002249902,0.001382495,2,1,4,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_rs_miroc_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02637055,28.60645,0.01423221,2.083351,6.352842203,0.01689881,6.2939300000000005,0.0377155,0.002443722,0.001854171,2,1,4,2,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_rs_noresm_NDC_Tax_ffict,2100,Southeast Asia,water_td_irr_Mekong_W,0.02992143,29.2736,0.01441777,2.156466,6.413307956,0.0220667,6.35245,0.0351609,0.002246936,0.00138342,2,1,5,1,2,4,5,7,1,5,2
ssp_ag4_soc5_gwmed_rs_noresm_NDC_Tax_uct,2100,Southeast Asia,water_td_irr_Mekong_W,0.02618094,28.49446,0.01408489,2.0911410000000004,6.299923708000001,0.01698922,6.2407900000000005,0.0378317,0.002455496,0.001857292,2,1,5,2,2,4,5,7,1,5,2
